epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,254.697,0.52326,0.56018,0.88967,0.99337,0.96,0.96393,0.87875,0.47487,0.50692,0.93979,0.0011684,0.0011684,0.0011684
44,261.168,0.53274,0.54058,0.8831,0.99005,0.96,0.96663,0.86483,0.46579,0.50703,0.94573,0.0011486,0.0011486,0.0011486
45,267.743,0.54909,0.56182,0.89903,0.99252,0.96,0.97167,0.87623,0.48846,0.5401,0.95768,0.0011288,0.0011288,0.0011288
46,274.081,0.51211,0.527,0.86391,0.99252,0.96,0.97167,0.87623,0.48846,0.5401,0.95768,0.001109,0.001109,0.001109
47,280.718,0.50826,0.49727,0.86604,0.99494,0.96,0.97583,0.87689,0.45992,0.52921,0.95036,0.0010892,0.0010892,0.0010892
48,287.192,0.54406,0.53199,0.88239,0.99663,0.96,0.96531,0.88881,0.44014,0.49918,0.94134,0.0010694,0.0010694,0.0010694
49,293.999,0.51985,0.50148,0.87136,0.99715,0.96,0.97387,0.88877,0.465,0.51852,0.9511,0.0010496,0.0010496,0.0010496
50,299.942,0.53038,0.50593,0.87224,0.95688,0.96,0.96132,0.83446,0.51496,0.58205,0.96338,0.0010298,0.0010298,0.0010298
51,306.257,0.45462,0.46515,0.86301,0.99561,0.92,0.93183,0.80871,0.56788,0.67869,1.0096,0.00101,0.00101,0.00101
52,312.302,0.52903,0.5227,0.89614,1,0.91333,0.93585,0.79029,0.58585,0.70831,1.02276,0.0009902,0.0009902,0.0009902
53,318.018,0.48952,0.47631,0.88164,0.99553,0.92,0.9431,0.75286,0.65387,0.80589,1.06844,0.0009704,0.0009704,0.0009704
54,323.57,0.4874,0.46005,0.86164,0.99553,0.92,0.9431,0.75286,0.65387,0.80589,1.06844,0.0009506,0.0009506,0.0009506
55,329.207,0.48298,0.482,0.86339,0.9497,0.88,0.90549,0.7589,0.68277,0.82069,1.11028,0.0009308,0.0009308,0.0009308
56,334.684,0.51076,0.48608,0.87466,0.9231,0.96031,0.98724,0.8331,0.55283,0.69082,1.02099,0.000911,0.000911,0.000911
57,340.156,0.4955,0.46421,0.87504,0.99756,0.96,0.97167,0.87707,0.43864,0.48296,0.94591,0.0008912,0.0008912,0.0008912
58,345.625,0.49144,0.4637,0.86433,0.99642,0.96,0.97541,0.89666,0.41418,0.42455,0.93646,0.0008714,0.0008714,0.0008714
59,351.068,0.5342,0.46778,0.88856,0.99584,0.96,0.96971,0.88457,0.43045,0.41391,0.95831,0.0008516,0.0008516,0.0008516
60,356.62,0.50433,0.50263,0.88973,0.99392,0.96,0.97286,0.89875,0.45716,0.41442,0.95426,0.0008318,0.0008318,0.0008318
61,362.208,0.54617,0.51317,0.90405,0.9873,0.96,0.97826,0.89057,0.45801,0.41737,0.94996,0.000812,0.000812,0.000812
62,367.685,0.47867,0.45081,0.86891,0.9873,0.96,0.97826,0.89057,0.45801,0.41737,0.94996,0.0007922,0.0007922,0.0007922
63,373.189,0.48324,0.47446,0.89461,0.98355,0.96,0.96531,0.90245,0.43647,0.42636,0.94215,0.0007724,0.0007724,0.0007724
64,378.708,0.48726,0.4466,0.8545,0.95991,0.96,0.96385,0.89926,0.44578,0.43042,0.95411,0.0007526,0.0007526,0.0007526
65,384.213,0.49714,0.43881,0.88061,0.95478,0.96,0.95729,0.89605,0.43318,0.42547,0.95438,0.0007328,0.0007328,0.0007328
66,389.768,0.46874,0.4406,0.86339,0.95629,0.96,0.95514,0.90415,0.40746,0.4112,0.93372,0.000713,0.000713,0.000713
67,395.304,0.41625,0.41427,0.85215,0.9595,0.96,0.95514,0.90648,0.4321,0.42185,0.93676,0.0006932,0.0006932,0.0006932
68,400.851,0.44857,0.40946,0.85763,0.97,0.96,0.95514,0.88476,0.437,0.41987,0.9287,0.0006734,0.0006734,0.0006734
69,406.306,0.46661,0.43187,0.8574,0.97428,0.96,0.95514,0.88604,0.43193,0.40375,0.92689,0.0006536,0.0006536,0.0006536
70,411.849,0.47204,0.45677,0.8581,0.97428,0.96,0.95514,0.88604,0.43193,0.40375,0.92689,0.0006338,0.0006338,0.0006338
71,417.326,0.4689,0.42811,0.85719,0.97465,0.96,0.95514,0.88145,0.44296,0.40091,0.93579,0.000614,0.000614,0.000614
72,422.797,0.43987,0.41498,0.86797,0.9681,0.96,0.95514,0.88051,0.44954,0.3936,0.94148,0.0005942,0.0005942,0.0005942
73,428.234,0.44511,0.4177,0.84944,0.95971,0.96,0.95515,0.87044,0.47022,0.39466,0.94791,0.0005744,0.0005744,0.0005744
74,433.7,0.4567,0.43013,0.86176,0.95881,0.96,0.95515,0.88378,0.46932,0.40136,0.95547,0.0005546,0.0005546,0.0005546
75,439.209,0.45589,0.43815,0.85567,0.95802,0.96,0.956,0.90712,0.44359,0.40272,0.94926,0.0005348,0.0005348,0.0005348
76,444.692,0.4533,0.44644,0.8933,0.95864,0.96,0.95632,0.89176,0.43716,0.40615,0.94768,0.000515,0.000515,0.000515
77,450.19,0.42557,0.3965,0.86825,0.95802,0.96,0.95516,0.90155,0.41392,0.37045,0.93853,0.0004952,0.0004952,0.0004952
78,455.646,0.44326,0.41531,0.86613,0.95802,0.96,0.95516,0.90155,0.41392,0.37045,0.93853,0.0004754,0.0004754,0.0004754
79,461.184,0.43487,0.40021,0.85016,0.95916,0.96,0.95865,0.89585,0.42059,0.36746,0.95431,0.0004556,0.0004556,0.0004556
80,466.657,0.41627,0.39345,0.86824,0.98803,0.96,0.9581,0.89276,0.38439,0.34252,0.92943,0.0004358,0.0004358,0.0004358
81,472.164,0.43784,0.39637,0.85946,0.99541,0.96,0.96209,0.90969,0.39612,0.3407,0.93305,0.000416,0.000416,0.000416
82,477.67,0.43668,0.39711,0.85311,0.99736,0.96,0.96219,0.91323,0.40687,0.34273,0.93613,0.0003962,0.0003962,0.0003962
83,483.3,0.42883,0.38911,0.84921,0.99712,0.96,0.96287,0.90865,0.40835,0.34607,0.9388,0.0003764,0.0003764,0.0003764
84,488.892,0.39745,0.38155,0.83545,0.997,0.96,0.9634,0.88803,0.4062,0.34785,0.93455,0.0003566,0.0003566,0.0003566
85,494.346,0.42628,0.38229,0.85022,0.99705,0.96,0.96263,0.89078,0.40721,0.34975,0.93339,0.0003368,0.0003368,0.0003368
86,499.776,0.40707,0.36422,0.85232,0.99705,0.96,0.96263,0.89078,0.40721,0.34975,0.93339,0.000317,0.000317,0.000317
87,505.292,0.41222,0.3691,0.85593,0.9963,0.96,0.96401,0.895,0.41401,0.34975,0.93355,0.0002972,0.0002972,0.0002972
88,510.766,0.42717,0.35182,0.86025,0.99384,0.96,0.96306,0.88941,0.42898,0.35533,0.93762,0.0002774,0.0002774,0.0002774
89,516.319,0.42643,0.39693,0.88036,0.98598,0.96,0.96326,0.88966,0.44862,0.36005,0.94151,0.0002576,0.0002576,0.0002576
90,521.811,0.42928,0.38143,0.82828,0.97008,0.96,0.95625,0.88743,0.45985,0.36617,0.95164,0.0002378,0.0002378,0.0002378
91,527.291,0.38051,0.40553,0.80614,0.95761,0.96,0.95567,0.88015,0.43917,0.36262,0.94096,0.000218,0.000218,0.000218
92,532.709,0.35452,0.38839,0.79675,0.95704,0.96,0.9552,0.88407,0.41272,0.3598,0.91891,0.0001982,0.0001982,0.0001982
93,538.095,0.35714,0.38602,0.82726,0.95566,0.96,0.9552,0.89847,0.39976,0.36651,0.9136,0.0001784,0.0001784,0.0001784
94,543.479,0.35387,0.36854,0.80279,0.95566,0.96,0.9552,0.89847,0.39976,0.36651,0.9136,0.0001586,0.0001586,0.0001586
95,548.887,0.3593,0.37016,0.80985,0.95486,0.96,0.9552,0.90011,0.40452,0.37426,0.91711,0.0001388,0.0001388,0.0001388
96,554.353,0.37206,0.38996,0.8095,0.95594,0.96,0.9552,0.89325,0.40865,0.3776,0.9212,0.000119,0.000119,0.000119
97,559.753,0.3433,0.3779,0.82639,0.95922,0.96,0.95519,0.90179,0.4128,0.38036,0.9251,9.92e-05,9.92e-05,9.92e-05
98,565.223,0.35053,0.37314,0.82842,0.96249,0.96,0.95519,0.90383,0.41547,0.38067,0.92919,7.94e-05,7.94e-05,7.94e-05
99,570.746,0.35459,0.38051,0.79997,0.96304,0.96,0.95518,0.90479,0.41823,0.37886,0.93217,5.96e-05,5.96e-05,5.96e-05
100,576.191,0.36407,0.3724,0.82222,0.95993,0.96,0.95518,0.90479,0.42074,0.37697,0.93455,3.98e-05,3.98e-05,3.98e-05
